probability_group,mean_predicted,observed_rate,n
1,0.29918960674913164,0.26029281713668073,10177
2,0.33912365758110025,0.32082146015525204,10177
3,0.3655175248652879,0.3681831581016016,10177
4,0.38850888600906,0.4053257344993613,10177
5,0.40820420107518374,0.4161344207526776,10177
6,0.4316600044185321,0.45288395401395304,10177
7,0.476243502269224,0.4872248427672956,10176
8,0.5410685289868004,0.5536556603773585,10176
9,0.6147935257908249,0.6171383647798742,10176
10,0.7445513900619292,0.7272012578616353,10176
