Variable,OR,CI_95_lower,CI_95_upper,P_value
(Intercept),0.186,0.124,0.28,< 0.001
age[10-20),2.007,1.3,3.099,0.00168
age[20-30),1.881,1.238,2.857,0.00307
age[30-40),1.841,1.22,2.777,0.00361
age[40-50),1.976,1.314,2.971,0.00106
age[50-60),1.999,1.33,3.003,< 0.001
age[60-70),2.168,1.443,3.256,< 0.001
age[70-80),2.311,1.539,3.472,< 0.001
age[80-90),2.245,1.494,3.373,< 0.001
age[90-100),1.642,1.086,2.482,0.01882
insulinNo,0.793,0.76,0.827,< 0.001
insulinSteady,0.812,0.777,0.849,< 0.001
insulinUp,0.935,0.886,0.986,0.01310
inpatient_group1,1.772,1.715,1.831,< 0.001
inpatient_group2,2.566,2.439,2.699,< 0.001
inpatient_group3+,3.756,3.545,3.979,< 0.001
number_emergency,1.268,1.238,1.299,< 0.001
number_outpatient,1.087,1.074,1.099,< 0.001
number_diagnoses,1.075,1.067,1.082,< 0.001
time_in_hospital,1.009,1.004,1.014,< 0.001
num_medications,0.998,0.996,0.999,0.00943
num_lab_procedures,1.002,1.001,1.002,< 0.001
