variable,unique_values,missing_values
weight,9,98569
medical_specialty,72,49949
payer_code,17,40256
race,5,2273
diag_3,789,1423
diag_2,748,358
diag_1,716,21
gender,3,0
age,10,0
max_glu_serum,4,0
A1Cresult,4,0
metformin,4,0
repaglinide,4,0
nateglinide,4,0
chlorpropamide,4,0
glimepiride,4,0
acetohexamide,2,0
glipizide,4,0
glyburide,4,0
tolbutamide,2,0
pioglitazone,4,0
rosiglitazone,4,0
acarbose,4,0
miglitol,4,0
troglitazone,2,0
tolazamide,3,0
examide,1,0
citoglipton,1,0
insulin,4,0
glyburide-metformin,4,0
glipizide-metformin,2,0
glimepiride-pioglitazone,2,0
metformin-rosiglitazone,2,0
metformin-pioglitazone,2,0
change,2,0
diabetesMed,2,0
readmitted,3,0
