medical_specialty,n
NA,49949
InternalMedicine,14635
Emergency/Trauma,7565
Family/GeneralPractice,7440
Cardiology,5352
Surgery-General,3099
Nephrology,1613
Orthopedics,1400
Orthopedics-Reconstructive,1233
Radiologist,1140
Pulmonology,871
Psychiatry,854
Urology,685
ObstetricsandGynecology,671
Surgery-Cardiovascular/Thoracic,652
Gastroenterology,564
Surgery-Vascular,533
Surgery-Neuro,468
PhysicalMedicineandRehabilitation,391
Oncology,348
Pediatrics,254
Hematology/Oncology,207
Neurology,203
Pediatrics-Endocrinology,159
Otolaryngology,125
Endocrinology,120
Surgery-Thoracic,109
Psychology,101
Podiatry,100
Surgery-Cardiovascular,98
Pediatrics-CriticalCare,87
Hematology,82
Gynecology,58
Hospitalist,57
Radiology,53
Surgeon,45
Surgery-Plastic,41
Osteopath,39
Ophthalmology,38
InfectiousDiseases,37
SurgicalSpecialty,33
Obsterics&Gynecology-GynecologicOnco,25
Pediatrics-Pulmonology,25
Anesthesiology-Pediatric,19
Obstetrics,19
Pathology,17
Rheumatology,17
Anesthesiology,12
OutreachServices,12
PhysicianNotFound,11
Surgery-Colon&Rectal,11
Surgery-Maxillofacial,11
Pediatrics-Neurology,10
Endocrinology-Metabolism,8
Surgery-Pediatric,8
AllergyandImmunology,7
Cardiology-Pediatric,7
Psychiatry-Child/Adolescent,7
DCPTEAM,6
Dentistry,4
Pediatrics-Hematology-Oncology,4
Pediatrics-AllergyandImmunology,3
Pediatrics-EmergencyMedicine,3
Resident,2
Dermatology,1
Neurophysiology,1
Pediatrics-InfectiousDiseases,1
Perinatology,1
Proctology,1
Psychiatry-Addictive,1
Speech,1
SportsMedicine,1
Surgery-PlasticwithinHeadandNeck,1
