variable,min,max,mean,median,missing_values
encounter_id,12522,443867222,165201645.62,152388987,0
patient_nbr,135,189502619,54330400.69,45505143,0
admission_type_id,1,8,2.02,1,0
discharge_disposition_id,1,28,3.72,1,0
admission_source_id,1,25,5.75,7,0
time_in_hospital,1,14,4.4,4,0
num_lab_procedures,1,132,43.1,44,0
num_procedures,0,6,1.34,1,0
num_medications,1,81,16.02,15,0
number_outpatient,0,42,0.37,0,0
number_emergency,0,76,0.2,0,0
number_inpatient,0,21,0.64,0,0
number_diagnoses,1,16,7.42,8,0
