variable,class
encounter_id,numeric
patient_nbr,numeric
race,character
gender,character
age,character
weight,character
admission_type_id,numeric
discharge_disposition_id,numeric
admission_source_id,numeric
time_in_hospital,numeric
payer_code,character
medical_specialty,character
num_lab_procedures,numeric
num_procedures,numeric
num_medications,numeric
number_outpatient,numeric
number_emergency,numeric
number_inpatient,numeric
diag_1,character
diag_2,character
diag_3,character
number_diagnoses,numeric
max_glu_serum,character
A1Cresult,character
metformin,character
repaglinide,character
nateglinide,character
chlorpropamide,character
glimepiride,character
acetohexamide,character
glipizide,character
glyburide,character
tolbutamide,character
pioglitazone,character
rosiglitazone,character
acarbose,character
miglitol,character
troglitazone,character
tolazamide,character
examide,character
citoglipton,character
insulin,character
glyburide-metformin,character
glipizide-metformin,character
glimepiride-pioglitazone,character
metformin-rosiglitazone,character
metformin-pioglitazone,character
change,character
diabetesMed,character
readmitted,character
